x	y	z	contour type	slice	weight	time frame
284.0	199.0	63.0	SAX_LV_ENDOCARDIAL	10	500	0
284.0	197.0	108.0	SAX_LV_ENDOCARDIAL	10	500	0
237.0	187.0	53.0	SAX_LV_ENDOCARDIAL	10	500	0
312.0	140.0	65.0	SAX_LV_ENDOCARDIAL	10	500	0
280.0	189.0	55.0	SAX_LV_ENDOCARDIAL	10	500	0
296.0	194.0	109.0	SAX_LV_ENDOCARDIAL	10	500	0
296.0	197.0	70.0	SAX_LV_ENDOCARDIAL	10	500	0
306.0	141.0	85.0	SAX_LV_ENDOCARDIAL	10	500	0
285.0	178.0	112.0	SAX_LV_ENDOCARDIAL	10	500	0
310.0	153.0	85.0	SAX_LV_ENDOCARDIAL	10	500	0
